category,headline,paragraph,image-src,harvester-link,link,link-text
African American/Black,Jennie Eva Hughes: the first African American student to graduate from University of Idaho,"We have newspaper clippings, photographs, registration cards, and original manuscripts from the first African American student to graduate from U of I",/media/dei/carousel/MA2000_29_001_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/MA2000_29_001_sm.jpg,https://harvester.lib.uidaho.edu/posts/2020/02/02/black-history-month-jennie-eva-hughes.html,View Collection
African American/Black,Idaho Black History Museum newsletters,Our newsletters from the museum span Fall 2002-Fall 2004,/media/dei/carousel/legacy2002_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/legacy2002_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71174757470001451,View Catalog Record
African American/Black,Black Pioneers: Images of the Black Experience on the North American Frontier,This book was published in 1997 and features photographs of the African-American experience in the western United States,/media/dei/carousel/blackpioneers_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/blackpioneers_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71136162960001451,View Catalog Record
African American/Black,"Blacks in Idaho's White Press, 1863 to 1916","This book is a compendium of articles related to Afro-Americans that were published in Idaho newspapers during the years between the Emancipation Proclomation and the U.S. entry into World War I. Written by Black author, Dr. Mamie O. Oliver",/media/dei/carousel/blacksinidahoswhitepress_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/blacksinidahoswhitepress_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71289888510001451,View Catalog Record
African American/Black,Idaho Ebony: The Afro-American Presence in Idaho State History,"This book describes the role African Americans have played in the life and history of Idaho. Written by Black author, Dr. Mamie O. Oliver",/media/dei/carousel/idaho_ebony_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/idaho_ebony_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71289878810001451,View Catalog Record
Asian American,Kooskia Internment Camp Scrapbook,"This scrapbook shares the sights, tasks, scenes, and events of Japanese men detained during the camp's two years of operation (May 1943-May 1945).",/media/dei/carousel/kooskia.png,https://digital.lib.uidaho.edu/digital/iiif/spec_kic/872/full/pct:70/0/default.jpg,https://www.lib.uidaho.edu/digital/kooskia/,View Collection
Asian American,Chinese on the American Frontier,"A collection of articles related to the Chinese presence in the late 19th century in the western United States, when anti-Chinese sentiment was at its peak. Major themes include racial hostility and violence, Chinese resistance to discrimination, life in Chinatown, labor issues, and public attitudes. Written by Turkish author Arik Dirlik and Chinese author Malcolm Yeung",/media/dei/carousel/chineseontheamericanfrontier_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/chineseontheamericanfrontier_sm.jpg,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/fulldisplay?docid=CP71120012180001451&context=L&vid=U of ID&lang=en_US&search_scope=everything&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Day-NW%20E184.C5%20C496%202001&offset=0",View Catalog Record
Asian American,"Lily Wai Committee Papers, 1981-1990","A collection of documents, photographs, and audiovisual materials related to the committee and library work of Lily Wai, University of Idaho Librarian.",/media/dei/carousel/otherfacesotherlives_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/otherfacesotherlives_sm.jpg,https://archiveswest.orbiscascade.org/ark:/80444/xv54043/,View Collection
Asian American,Japanese-Americans in the Pacific Northwest,A bibliography of library resources relating to Japanese Americans in the Pacific Northwest. Created by Tacoma Public Library staff.,/media/dei/carousel/japaneseamericansinthepnw_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/japaneseamericansinthepnw_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71141003280001451,View Catalog Record
Asian American,Japanese American Contributions to Idaho's Economic Development,"This discusses how ""Japanese, like other early Idaho pioneers, came to the Gem State in search of economic opportunity. Through their efforts, they not only achieved many of their own economic goals, but also made significant contributions to Idaho's economic development.""",/media/dei/carousel/japaneseamericancontributionstoidahoeconomicdevelopment_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/japaneseamericancontributionstoidahoeconomicdevelopment_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71177581510001451,View Catalog Record
Asian American,Asian American Comparative Collection newsletter,Newsletters from the Asian American Comparative Collection at the U of I's Laboratory of Anthropology,/media/dei/carousel/asianamericancomparativecollectionnewsletter_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/asianamericancomparativecollectionnewsletter_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71135948120001451,View Catalog Record
Asian American,"Samuel Chan Papers, 1962-1988","Charts, graphs, photographs, correspondence and articles written by Samuel S.M. Chan, U of I Professor of Metallurgical Engineer, 1962-1989",/media/dei/carousel/mg349_folder22_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/mg349_folder22_sm.jpg,http://archiveswest.orbiscascade.org/ark:/80444/xv07530/,View Collection
Asian American,Chinese at the Confluence: Lewiston's Other Pioneers (MG 5612),"A preliminary history, written by Dr. Priscilla Wegars, of the Chinese in Lewiston, Idaho, prepared for the Lewis-Clark Center for Arts and History's Chinese Temple Restoration and Exhibit Project, funded by a grant from the Idaho Humanities Council.",/media/dei/carousel/mg5612_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects/small/mg5612_sm.jpg,https://search.lib.uidaho.edu/permalink/f/1j5b4no/CP71150685520001451,View Catalog Record
Asian American,Chinese in the Elk City Gold Fields,A publication about Chinese people and the Idaho gold rush in the 1800s.,/media/dei/carousel/chineseelkcity_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects/small/chineseelkcity_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71154956950001451,View Catalog Record
Asian American,Rei Kihara Osaki profile in U of I College of Law 2002 Annual Report,"Rei Kihara Osaki graduated from the U of I College of Law in 1943 was one of the College's first female students, its first Japanese-American graduate, and only the sixteenth woman in Idaho to become a lawyer. The 2002 Annual Report gives a biographical profile of Osaki's life. ",/media/dei/carousel/reiosakiprofile_collegeoflaw2002_th.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects/thumbs/reiosakiprofile_collegeoflaw2002_th.jpg,https://harvester.lib.uidaho.edu/posts/2021/05/04/rei-kihara-osaki.html,View Collection
Hispanic American,"The Hispanic Profile Data Book for Idaho, 2004","As the number of Hispanics in Idaho has increased over the course of the past two decades, the demand for demographic data and information regarding this population has increasingly become an essential resource for understanding and serving this community. In recognition of this need, during the summer of 2004 the Idaho Commission on Hispanic Affairs convened a statewide inter-agency task force to collaborate in the development of the Hispanic Profile Project, a demographic report of Idaho's Hispanic community.",/media/dei/carousel/hispanicprofiledatabook_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/hispanicprofiledatabook_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71275319430001451,View Catalog Record
Hispanic American,"Idaho Commission on Hispanic Affairs Management Report, FY 2005-2007",We evaluated the internal controls over financial operations of the Idaho Commission on Hispanic Affairs as part of our effort to evaluate each State agency at least once every three years. This report summarizes the results of our evaluation.,/media/dei/carousel/idahocommissiononhispanicaffairs_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/idahocommissiononhispanicaffairs_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71126308730001451,View Catalog Record
Hispanic American,Report on the Governor's Hispanic Initiative,"The attached report compiles recommendations from each of the five main components of the Governor's Hispanic Initiative. These five components include: Business and Employment, Education, Substance Abuse and Gangs, Accessibility, and Housing. The Idaho Commission on Hispanic Affairs committed itself to finalize these recommendations when this phase of the Initiative was turned over on July 15, 1997.",/media/dei/carousel/reportongovhispanicinitiative_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/reportongovhispanicinitiative_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71172222230001451,View Catalog Record
Hispanic American,Voces Hispanas: Hispanic Voices of Idaho (excerpts from the Idaho Hispanic Oral History Project),Materials from the Idaho Hispanic Oral History Project. Selected transcriptions of 36 cassette tapes of the same title,/media/dei/carousel/voceshispanas_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/voceshispanas_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71151724860001451,View Catalog Record
Hispanic American,Hispanic Youth Dropout Prevention,Report of the Task Force on the Participation of Hispanic Students in Vocational Education Programs in Idaho,/media/dei/carousel/hispanicyouthdropoutprevention_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/hispanicyouthdropoutprevention_sm.jpg,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/fulldisplay?docid=CP71164924380001451&context=L&vid=U of ID&lang=en_US&search_scope=everything&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,hispanic&facet=local3,include,U of I%20Library%20Special%20Collections%20(non-circulating)$$IU of ID&offset=0",View Catalog Record
Hispanic American,Living Treasures: Hispanic Artisans & Traditionalists of the Snake River Valley,"Results of a survey of Traditional Hispanic Artists, documenting the variety and depth of traditional arts in the Hispanic Communities in southeastern oregon and southerwest Idaho. It recognizes the strength of a cultural history that has gone unrecognized throughout the region. ",/media/dei/carousel/livingtreasures_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/livingtreasures_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71171378500001451,View Catalog Record
Native American/Indigenous,Columbia River Inter-Tribal Fish Commission,"Minutes, agendas, reports, and other documents relating to Native American fisheries, distributed to Columbia River Inter-Tribal Fish Commission members and collected by Robert Strom, commission member representing the Nez Perce Tribe",/media/dei/carousel/colulmbiariverintertribalfishcommission_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/colulmbiariverintertribalfishcommission_sm.jpg,https://archiveswest.orbiscascade.org/ark:/80444/xv38652/,View Collection
Native American/Indigenous,"Register of Indian Families at the Nez Perce Agency, 1884-1909",Record of land allotments and register of families on the Nez Perce Indian Reservation,/media/dei/carousel/mg221_b2p0036_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects/small/mg221_b2p0036_sm.jpg,https://archiveswest.orbiscascade.org/ark:/80444/xv14474/,View Collection
Native American/Indigenous,"Dennis Baird Papers, 1858-1868 (MA 2006-14)","Photocopies of original documents used in Dennis Baird, Diane Mallickan, and William Swagerty research for Nez Perce Nation Divided, published in 2002",/media/dei/carousel/ma2006-14_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects/small/ma2006-14_sm.jpg,https://www.lib.uidaho.edu/special-collections/,Contact Special Collections for more information
Native American/Indigenous,"Dennis Baird Papers, 1878-1930 (MA 2012-23)","Source material related to Nez Perce people including print-outs of scans or digital photos of original documents held by NARA in Seattle, College Park, and Washington D.C. offices.",/media/dei/carousel/ma2012-23_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects/small/ma2012-23_sm.jpg,https://www.lib.uidaho.edu/special-collections/,Contact Special Collections for more information
Native American/Indigenous,Dennis Baird Papers (MA 2014-45),Records relating to the history of the Nez Perce people,/media/dei/carousel/ma2014-45_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects/small/ma2014-45_sm.jpg,https://www.lib.uidaho.edu/special-collections/,Contact Special Collections for more information
Native American/Indigenous,"Dennis Baird Papers, 1790-1858 (MA 2015-20)",Documents relating to the Nez Perce tribe 1790-1858,/media/dei/carousel/ma2015-20_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects/small/ma2015-20_sm.jpg,https://www.lib.uidaho.edu/special-collections/,Contact Special Collections for more information
Native American/Indigenous,"Dennis Baird Papers, 1863-1877 (MA 2018-18)",Photocopies from NARA and other sources of documents relating to the history of the Nez Perce People and the Wallowa Valley,/media/dei/carousel/ma2018-18_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects/small/ma2018-18_sm.jpg,https://www.lib.uidaho.edu/special-collections/,Contact Special Collections for more information
Native American/Indigenous,"Nez Perce translation of a portion of the Bible, 1840s",Handwritten manuscript of a Nez Perce translation of a portion of the Bible,/media/dei/carousel/mg5144_30_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects/small/mg5144_30_sm.jpg,https://search.lib.uidaho.edu/permalink/f/1j5b4no/CP71119017750001451,View Catalog Record
Native American/Indigenous,"Quechua Language Glossaries, circa 1940","Typescript and manuscript handwritten glossary of Quechua, Spanish, and English languages",/media/dei/carousel/mg5573_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects/small/mg5573_sm.jpg,https://search.lib.uidaho.edu/permalink/f/1j5b4no/CP71113885900001451,View Catalog Record
Native American/Indigenous,"Watson's Store and the Nez Perce, 1987",Research paper prepared for History 501. Includes annotated bibliography and Priscilla Wegars' comment on Watson's store and acculturation of the Nez Perce,/media/dei/carousel/mg5586_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects/small/mg5586_sm.jpg,https://search.lib.uidaho.edu/permalink/f/1j5b4no/CP71180144580001451,View Catalog Record
Women,"Women's Caucus of the University of Idaho, 1971-1980","Newspaper clippings, correspondence, meeting minutes, and legal documents of the Women's Caucus of the University of Idaho",/media/dei/carousel/mg109001_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/mg109001_sm.jpg,http://archiveswest.orbiscascade.org/ark:/80444/xv26340/,View Collection
Women,"Mortar Board Records, 1929-1975","Meeting minutes, correspondence, activity plans, and plaques awarded by this honor society at the University of Idaho",/media/dei/carousel/mg371_scrapbook4_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/mg371_scrapbook4_sm.jpg,http://archiveswest.orbiscascade.org/ark:/80444/xv96451/,View Collection
Women,"Corlann Gee Bush Papers, 1976-1985","Correspondence, reports, and other mailings related to women's issues, including material from the American Association of University Women, the International Women's Year, and the Taking Hold of Technology Workshop. Also cassette tapes primarily of interviews with rural women",/media/dei/carousel/mg178_folder43_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/mg178_folder43_sm.jpg,http://archiveswest.orbiscascade.org/ark:/80444/xv40019/,View Collection
Women,"Lillie Mae Hermann Papers, 1975-1979","Reports, newsletters, term papers, and other papers related to rural women in civic groups such as the League of Women Voters; included are 180 questionnaires on ""the changing role of today's farm woman""",/media/dei/carousel/mg106_box2-folder16_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/mg106_box2-folder16_sm.jpg,http://archiveswest.orbiscascade.org/ark:/80444/xv28049/,View Collection
Women,"Gracie (Bowers) Pfost Papers, 1950-1962","Records relating to the first female member of Congress from Idaho, Gracie Pfost",/media/dei/carousel/mg44_box58-folder2301_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/mg44_box58-folder2301_sm.jpg,http://archiveswest.orbiscascade.org/ark:/80444/xv84821/,View Collection
Women,"Norma Dobler Papers, 1967-1991","Materials relating to Norma Dobler's career as a politician, a member of the League of Women Voters, and a delegate to the 1977 National Women's Conference in Houston",/media/dei/carousel/mg402_folder94-2_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/mg402_folder94-2_sm.jpg,https://archiveswest.orbiscascade.org/ark:/80444/xv85164/,View Collection
Women,"Rural Women's History Project Records, 1975-1980","Interviews with rural women in Latah, Benewah, Clearwater, Nez Perce, and Shoshone counties in Idaho concerning the changing roles of rural women",/media/dei/carousel/ruralwomenshistoryproject_box1_folder3-2_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects/small/ruralwomenshistoryproject_box1_folder3-2_sm.jpg,http://archiveswest.orbiscascade.org/ark:/80444/xv42414,View Collection