item,location,category,description,image,booking_link,acquisition_date,loan,fine,replacement_cost,quantity,product_link,barcode,note,catalog_note
Studio Key,circulation,Miscellaneous,The key to acces the Studio can be checked out from the Circulation Desk at the time of your booking.,,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP996299213001851,,2 hours,$5/hour,$20,1,,206012349141,"should change to 2 hours in primo under ""POLICY""",
iMac,studio,Computers,"The Retina 5K, 27-inch iMac features the following software applications installed on the machine: Adobe Creative Cloud applications (Premiere, Photoshop, Illustrator, Audition, After Effects, etc.), Logic Pro X, MainStage, GarageBand, Audacity, iZotope RX 6, Final Cut Pro, iMovie, Camtasia, and more. ",iMac.jpg,,2017,,,"$2,300",1,https://www.apple.com/shop/buy-mac/imac-imac/27-inch-3.8ghz-8-core-processor-with-turbo-boost-up-to-5.0ghz-512gb,,, cataloged
Monitor,studio,Computer Accessories,"The 32″ full-HD VicTek monitor has a 20,000:1 dynamic contrast ratio for deeper blacks and brighter whites and 60Hz refresh rate for continually bright images.",Monitor.jpg,,2017,,,$250,1,https://www.amazon.com/VIOTEK-Computer-Monitor-1920x1080-H320/dp/B01J4ES6WQ/,,, cataloged
Audio Interface,studio,Audio Equipment,"The MOTU 1248 Thunderbolt Audio Interface features four mic inputs, two dedicated hi-Z guitar inputs, 8 x 12 balanced analog with separate main and monitor outs, 2 x 8-channel ADAT optical, and RCA S/PDIF (with sample rate conversion), for a total of 32 inputs and 34 outputs.",AudioInterface.jpg,,2017,,,"$1,500",1,https://www.amazon.com/MOTU-32x34-Thunderbolt-Audio-Interface/dp/B00M1XNLHI/,,, cataloged
Audio Monitor,studio,Audio Equipment,"KRK's Rokit 5 G3 (Generation 3) powered studio monitors offer professional performance and accuracy for recording, mixing, mastering and playback.",AudioMonitor.jpg,,2017,,,$300,2,https://www.amazon.com/KRK-RP5G3W-NA-Generation-Powered-Monitor/dp/B00HHZUTQQ/,,, cataloged
Compressor,studio,Audio Equipment,"The dbx 266xs 2-channel Compressor/Gate features dynamics control for any program material, program-adaptive expander/gates, LEDs for gain reduction, compression and gate threshold, and stereo or dual-mono operation.",Compressor.jpg,,2017,,,$200,1,https://dbxpro.com/en/products/266xs,,, cataloged
AKAI MPK Mini,studio,Audio Equipment,"MPK mini is an ultra-compact keyboard for singer-songwriters, beat makers, and electronic musicians to create music.",AKAIMPKMini.jpg,,2017,,,$100,1,https://www.amazon.com/Akai-Professional-MPK-Ultra-Portable-Controller/dp/B00IJ6QAO2/,,, cataloged
Data Hub,studio,Computer Accessories,The Anker 10 Port 60W Data Hub offers seven ports for high-speed data transfer of up to 5Gbps and three ports that charge of up to 2.1 amps.,DataHub.jpg,,2017,,,$40,1,https://www.amazon.com/gp/product/B00VDVCQ84/,,, cataloged
Cassette Deck,CDIL,Audio Equipment,"Tascam 202MKVII Double Cassette Recorder Deck features a dual twin-head decks can each be used for recording or playback (or can be used together), parallel recording function records audio to both decks simultaneously, and a microphone input that can be mixed with cassette 1 audio and recorded real time to cassette 2 for karaoke or voice over applications.",CassetteDeck.jpg,,2021,,,,1,https://www.amazon.com/Tascam-202MKVII-Double-Cassette-Recorder/dp/B07DKRZ4QB,,, cataloged
Reel-to-Reel Recorder,CDIL,Audio Equipment,"The Pioneer Auto Reverse Direct Drive RT-707 Recorder features a low profile rack mount design with 7"" reels and auto reverse playback.",Reel-to-ReelRecorder.jpg,,2017,,,,1,,,, cataloged
Amplifier,studio,Audio Equipment,"The Hafler P4000 is a three rack height, two channel professional power amplifier for studio monitoring, touring sound and fixed installations.",Amplifier.jpg,,2017,,,,1,,,,cataloged
HDMI to USB3.0 Video Capture,studio,Video Equipment,"The HDMI to USB3.0 Video Capture Dongle can capture one single channel HD HDMI video signals from sources such as Blu-Ray Player, Play Station, audio/video receiver, satellite receivers, SLR cameras with HDMI output. The input and output video signal can reach 1080p/60hz.",VideoCapture.jpg,,2017,,,$150,1,https://www.amazon.com/Capture-Rongyuxuan-USB3-0-Drive-Free-Windows/dp/B01JZAYQCS,,, cataloged
Omnidirectional Lavalier Microphone,studio,Audio Equipment,"The Countryman B3 Omnidirectional Lavalier Microphone is water resistant, makeup resistant, has low handling noise, and can handle high sound levels up to 150dB SPL.",OmnidirectionalLavalierMicrophone.jpg,,2017,,,$250,1,https://countryman.com/product/b3-omnidirectional-lavalier/,,,cataloged
Shure SM57 Microphone,studio,Audio Equipment,The SM57 features a uniform cardioid pick-up pattern that isolates the main sound source and minimizes background noise.,ShureSM57Microphone.jpg,,2017,,,$100,1,https://www.amazon.com/Shure-SM57-LC-Cardioid-Dynamic-Microphone/dp/B0000AQRST/,,,cataloged
Shure SM58 Microphone,studio,Audio Equipment,"The Shure SM58 Dynamic Vocal Microphone utilizes a highly effective, built-in, spherical filter that minimizes wind and breath pop noise while the cardioid pickup pattern isolates the main sound source and minimizes unwanted background noise.",ShureSM58Microphone.jpg,,2017,,,$100,2,https://www.amazon.com/Shure-SM58-LC-Cardioid-Microphone-%20without/dp/B000CZ0R42/,,,cataloged
Rode NT1A Microphone,studio,Audio Equipment,"The Rode NT1A diaphragm 1"" cardioid condenser microphone features low noise and delivers warmth and extended dynamic range. A studio grade pop shield, shock mount, and dust cover are included.",RodeNT1AMicrophone.jpg,,2017,,,$230,1,http://www.rode.com/microphones/nt1-a,,,cataloged
Pop Filter,studio,Audio Equipment,The Marshall PF-002 pop filter helps improve the sound quality of the recorded voice by reducing popping sounds during recordings.,PopFilter.jpg,,2017,,,$30,3,https://www.bswusa.com/Pop-Filters-Marshall-PF-002-P3452.aspx,,,cataloged
"Microphone Stands, Table",studio,Audio Equipment,"The On-Stage DS300B Posi-Lok 7"" Mini Desktop Microphone Boom Stand provides stability, vibration dampening, and a wide range of angle positions.",MicrophoneStandTable.jpg,,2017,,,$20,1,https://www.bswusa.com/Microphone-Stands-On-Stage-DS300B-P3919.aspx,,,cataloged 
"Microphone Stands, Floor",studio,Audio Equipment,"The On-Stage MS7700B Tripod Microphone Stand features steel-reinforced plastic leg housing offers less weight and more strength and adjustable height from 32"" to 61.5"".",MicrophoneStandFloor.jpg,,2017,,,$20,1,https://www.amazon.com/Stage-MS7700B-Tripod-Microphone-Stand/dp/B0013V1BYY/,,,cataloged
Studio Headphones,studio,Audio Equipment,"The AKG K240 MKII professional over-ear, semi-open headphones advanced 30 mm XXL transducers with Varimotion diaphragms deliver a wide dynamic range, increased sensitivity, and high sound levels.",StudioHeadphones.jpg,,2017,,,$110,1,https://www.amazon.com/AKG-240-Stereo-Studio-Headphones/dp/B0016MNBAM/,,,cataloged
DVD/VHS Player,studio,Video Equipment,"The LG 1080p up-scaling HDMI™ Player with progressive scan includes a multi-region DVD player, a DVD recorder, a multi-region VHS player for playback and recording.",DVDVHSPlayer.jpg,,2017,,,,1,,,,cataloged
Green Screen & Lights,studio,Video Equipment,"The green screen and lights kit includes one backdrop stand, one green and one black backdrop, and three softboxes. The kit can be used for photography backdrop and Chroma Key.",GreenScreenLights.jpg,,2017,,,$250,1,,,,
Portable Green Screen,circulation,Video Equipment,The Impact Super Collapsible Background (8 x 16 ft) is a single-sided green background that can fold into small circular size and can be used horizontally or vertically.,PortableGreenScreen.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP996299212901851,2017,24 hours,$5/hour,$110,1,https://www.amazon.com/Impact-Super-Collapsible-Background-Chroma/dp/B0053EBFRU/,206012346089,"should change to 24 hours in primo under ""POLICY""",cataloged
Portable Light Kit,circulation,Video Equipment,"The Neewer TT560 Flash Speedlite Kit includes Neewer TT560 Speedlite Flash, 71""/180cm Light Stands, and 32""/ 80cm 5 in 1 reflector disc.",PortableLightKit.jpg,,2017,24 hours,$5/hour,$140,1,https://www.amazon.com/gp/product/B00WWPBRTE/,,to be entered in alma and barcoded,cataloged - needs barcode in item
Video Camera (circulating),circulation,Video Equipment,The Canon VIXIA HF G20 HD Camcorder comes with 32GB Internal Flash Memory and 10x HD Video lens (5mm equivalent: 30.4mm – 304mm) with 8-Blade Iris and 3.5 inch touch LCD.,VideoCamera.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP996299210101851,2017,24 hours,$5/hour,$700,1,https://www.amazon.com/Canon-VIXIA-Camcorder-Internal-Memory/dp/B00AWZFHG0/,206012499391,,cataloged - in transit
Video Camera (permanent hold),circulation,Video Equipment,The Canon VIXIA HF G20 HD Camcorder comes with 32GB Internal Flash Memory and 10x HD Video lens (5mm equivalent: 30.4mm – 304mm) with 8-Blade Iris and 3.5 inch touch LCD.,VideoCamera.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP996299210001851,2017,3 hours in-library,$5/hour,$700,1,https://www.amazon.com/Canon-VIXIA-Camcorder-Internal-Memory/dp/B00AWZFHG0/,206012348184,,cataloged - in transit
GoPro Hero,circulation,Video Equipment,"With built-in Wi-Fi and Bluetooth, and user-friendly modes like QuikCapture, SuperView and Auto Low Light, GoPro HERO+LCD provides video recording at 1080p at 60 fps/and 8 megapixel photos. The kit comes with a clip mount and a suction cup mount.",GoProHero.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP996299210501851,2017,24 hours,$5/hour,$300,2,https://gopro.com/en/us/shop/cameras,00206012348150; 00206012348168,"should change to 24 hours in primo under ""POLICY""",cataloged
Tripod,circulation,Video Equipment,The lightweight Amazon Basics tripod can support most cameras up to 6.6 pounds. The tripod’s lockable legs can extend from 20 to 48 inches and include a center post that can be cranked up for a total height of 60 inches.,Tripod.jpg,,2017,24 hours,$5/hour,$25,2,https://www.amazon.com/AmazonBasics-60-Inch-Lightweight-Tripod-Bag/dp/B005KP473Q/,00206012497627; 00206012497619, ,cataloged
Field Recorder,circulation,Audio Equipment,The Tascam Portable Studio Recorder DR-05 features a pair of condenser microphones that handle up to 125dB SPL and records in MP3 or WAV format – including 96kHz/24-bit high-resolution audio – to microSD or microSDHC media. The kit includes a SM57 microphone.,FieldRecorder.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP996299209501851,2017,24 hours,$5/hour,$200,2,https://www.amazon.com/TASCAM-Portable-Digital-Recorder-Version/dp/B00LU8K790/,00206012348135; 00206012348143,,cataloged -in transit
External Hard Drive,circulation,Computer Accessories,The Seagate Portable Drive is a USB external hard drive features 1TB storage space and works with Windows or Mac computers.,ExternalHardDrive.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP996299211101851,2017,24 hours,$5/hour,$60,4,https://www.amazon.com/Seagate-Portable-External-Hard-Drive/dp/B08GRM45J7/,00206012346113; 00206012346139; 00206012346105; 00206012346121; ,"should change to 24 hours in primo under ""POLICY""",cataloged
Miscellaneous Accessories,studio; circulation,Miscellaneous,"Adapters, cables, chargers, and other accessories.",,,2017,24 hours,$5/hour,Priced individually,,,,,
Cellphone Tripod,circulation,Video Equipment,The UBeesize Phone Tripod Stand & Selfie Stick Tripod features a maximum height to 67 inches with a minimum storage space to 20 inches.,CellphoneTripod.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP996299010901851,2020,24 hours,$5/hour,$20,3,https://www.amazon.com/UBeesize-Professional-Cellphone-Bluetooth-Compatible/dp/B08D6KM95D/,206012499284; 00206012497296; 00206012497288; 00206012497304; ,"should change to 24 hours in primo under ""POLICY"" for the first one, and the other two are to be entered in alma and barcoded",cataloged & barcoded
Canon DSLR Camera Kit,circulation,Photography Equipment,"The Canon DSLR Camera Kit includes a Canon EOS 4000d digital camera, a Canon EF-S 18-55mm f/3.5-5.6 IS II Lens, a Canon Neck Strap, a battery, a charger, a 32GB memory card, a memory card reader, and a small tripod.",CanonDSLR.jpg,,2020,24 hours,$5/hour,$500,1,https://www.amazon.com/Canon-18-55mm-Accessory-Inspire-Digital/dp/B0952CH3WW,206011893719, ,cataloged & barcoded
Computer Headsets with Microphone,circulation,Computer Accessories,"The Logitech USB Headset H390 with Noise Cancelling Microphone features padded headband and ear pads, rotating, noise canceling microphone, inline volume and mute controls with USB connections.",ComputerHeadsetswithMicrophone.jpg,,2020,24 hours,$5/hour,$25,6,https://www.amazon.com/Logitech-Headset-H390-Noise-Cancelling/dp/B000UXZQ42,00206012499193; 00206012499201; 00206012499219; 00206012499227; 00206012499235; 00206012499243, ,"need new record - barcoded tags. mesh bags ordered. ""noise cancelling headphones with microphone"""
Ring Light Kit,circulation,Video Equipment,"The Sensyne 10-inch Selfie Ring Light with 51-inch Tripod Stand features three colors lighting modes with 10 brightness levels adjustable from 0% to 100% and a multi-functional adjustable travel tripod that can be extended from 16"" to 51"". The kit includes a ring light, a wireless remote shutter, a phone holder, and AC/DC adapter.",RingLight.jpg,,2020,24 hours,$5/hour,$35,2,https://www.amazon.com/Extendable-Sensyne-YouTube-Compatible-Phones/dp/B08B3X7NXC,206012497320, ,cataloged - barcoded
50-inch eGlass,studio,Video Equipment,"The eGlass is a transparent light board with a built-in camera with one-touch lesson recording, lighting and camera adjustments, and a built-in microphone. It enables instructors to pull slides, documents and photos directly onto the screen and draw on the document right on eGlass. The eGlass also allows live Zoom streaming or recording for distance learning, hybrid learning, and flip the classroom learning.",eGlass.jpg,,2021,,,"$3,000",1,https://buy.eglass.io/,,studio only,cataloged
24-inch Touch Screen Monitor,studio,Computers,"The Dell P2418HT LED monitor features a LED monitor, a 24"" (23.8"" viewable) touchscreen, and 1920 x 1080 Full HD (1080p) resolution at 60 Hz.",TouchScreenMonitor.jpg,,2021,,,$450,1,https://www.cdw.com/product/dell-p2418ht-led-monitor-full-hd-1080p-24/6106700?pfm=srh,,studio only,cataloged
Webcam,studio,Computer Accessories,Logitech Brio supports ultra 4K HD video collaboration and features high dynamic range technology that automatically adjust to any lighting environment.,Webcam.jpg,,2021,,,$200,1,https://www.logitech.com/en-us/products/webcams/brio-4k-hdr-webcam.960-001105.html,,,cataloged
Webcam Light  ,studio,Computer Accessories,The 12-inch webcam ring light features three colors lighting modes with 10 brightness levels adjustable and is configurated for one button studio streaming. ,WebcamLight.jpg,,2021,,,$40,1,https://www.amazon.com/Webcam-Light-Logitech-C922x-C930e/dp/B07KWX2GFN,,,cataloged
Document Holder,studio,Computer Accessories,"The TrenDesks Document Copy Holder can hold your phone, tablet or document with a weight capacity of up to 2.2 lbs.",DocumentHolder.jpg,,2021,,,$40,2,https://www.amazon.com/TrenDesks-Document-Holder-Cellphone-Direction/dp/B07FDN6KCM,,,cataloged 
Wireless Trackball Mouse,studio,Computer Accessories,The Kensington Expert Wireless Trackball Mouse features a large 55mm ball design and Diamond Eye optical tracking for precise cursor control and an ergonomic wrist rest that supports hand and wrist for improved comfort.,WirelessTrackballMouse.jpg,,2021,,,$100,1,https://www.amazon.com/Kensington-Expert-Wireless-Trackball-K72359WW/dp/B01936N73I,,,cataloged
USB Microphone Kit,circulation,Audio Equipment,"The Blue Yeti USB Microphone features four different pattern modes to record audio for podcasting, Twitch streaming, music recording, voice overs, acoustic guitar, choir, band's live performance, a multi-person podcast, a conference call, duet or a two-person interview. The kit includes a USB microphone, a USB cable, and a quick start guide.",USBMicrophone.jpg,,2021,24 hours,$5/hour,$130,1,https://www.bluemic.com/en-us/products/yeti/,206012499250, ,cataloged & barcoded.
4-Track Portable Recorder,studio,Audio Equipment,"The Zoom H4n Pro 4-Track Portable Recorder features advanced X/Y microphones, natural-sounding preamps, and a 4-Channel Mode that records with the built-in microphones and two external inputs.",4-TrackPortableRecorder.jpg,,2021,,,$230,1,https://www.amazon.com/Zoom-H4N-Digital-Multitrack-Recorder/dp/B08SRDY9T6/,,,
Wireless Presenter,circulation,Computer Accessories,The Logitech Wireless Presenter R400 allows you to advance or go back through your slides at the touch of a control key while moving around the room and engage your audience with reliable wireless range of up to 50 feet. ,WirelessPresenter.jpg,,2021,24 hours,$5/hour,$50,1,https://www.amazon.com/Logitech-Wireless-Presenter-Presentation-Pointer/dp/B002GHBUTK/,206011893727, ,cataloged - barcoded
Portable Speaker,circulation,Computer Accessories,The Logitech Z50 portable speaker features a 10 Watts Peak/5 Watts RMS power from the 2.25 inch driver design that can amplify your device's audio in any room.,PortableSpeaker.jpg,,2021,24 hours,$5/hour,$20,1,https://www.logitech.com/en-us/products/speakers/z50-portable-mini-speaker.980-000797.html?crid=47,206012000000, ,cataloged - barcoded
Digital Graphic Drawing Tablet Kit,circulation,Computer Accessories,"The Wacom Intuos Pro Paper features a creative pen with tilt-recognition and virtually lag–free tracking for artists and designers to capture editable versions of their paper sketches. The kit includes a tablet, a pen, a pen stand, a paper clip, four pen color rings, a USB cable, and a quick start guide.",DigitalGraphicDrawingTablet.jpg,,2021,24 hours,$5/hour,$550,1,https://estore.wacom.com/en-US/wacom-intuos-pro-paper-medium-m-pth660p.html,206012497270, ,cataloged - barcoded
Lavalier Recorder,studio,Audio Equipment,"The Zoom F1 Field Recorder + Lavalier Mic include a two-channel audio recorder, a 1.25” monochrome LCD display, and supports up to 24-bit/96 kHz audio in BWF-compliant WAV or a variety of MP3 formats.",LavalierRecorder.jpg,,2021,,,$200,1,https://www.amazon.com/Zoom-Digital-Multitrack-Recorder-F1-LP/dp/B08SRJLQ4T/,,,cataloged
Computer Headsets with Microphone,circulation,Computer Accessories,The Logitech Stereo H151 On-Ear Headphones ,,,2021,24 hours,$5/hour,$20,10,https://www.bestbuy.com/site/logitech-stereo-h151-on-ear-headphones-black/4576703.p?skuId=4576703,00206012499433; 00206012499441; 00206012499466; 00206012499474; 00206012499482; 00206012499490; 00206012499557; 00206012499565; 00206012499573; 00206012499458, ARPA Grant -- will need circulation stats later,mesh bags purchased--cataloged-barcoded
Verizon Jetpack MiFi,circulation,WiFi Hotspot,LTE Mobile WiFi Hotspot with unlimited data on the Verizon network (paid for by the library!). Includes a universal charger and USB port. Connect up to 15 different devices at a time to the WiFi.,novatel-mifi-8800l-grey.jpg,,2021,7 days,$15/day,$150,20,https://www.verizon.com/internet-devices/verizon-jetpack-mifi-8800l/,00206012502400; 00206012502376; 00206012502632; 00206012502756; 00206012502541; 00206012502343; 00206012502350; 00206012502525; 00206012502640; 00206012502368; 00206012502285; 00206012502301; 00206012502749; 00206012502277; 00206012502533; 00206012502426; 00206012502392; 00206012502418; 00206012502293; 00206012502517,ARPA Grant -- will need circulation stats later. There is an excel file with all the phone numbers and admin passwords for each MiFI. ,cataloged & barcoded
ThinkPad T14 Laptop,circulation,Laptops,"14"" Laptop equipped with all the software found on computer lab devices. Log-in using your Vandal ID. Includes a charger. ",laptops-thinkpad.png,,2022,21,$15/day,"$1,400",28,https://www.lenovo.com/us/en/p/laptops/thinkpad/thinkpadt/t14-g2-(intel)/22tpt14t4n2?orgRef=https%253A%252F%252Fwww.google.com%252F,,ARPA Grant -- will need circulation stats later.,cataloged
